# Simulation 4 (Up to date)
# 2266 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (48 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
2e-3,-1.692e-5,-0.01692,-8.46,0.01693,8.4652,0,5.9086e-7,5.9086e-7,90,5.9086e-4,0.29543,55.7,-4.81,9.8149,90.15,0,0,0,1532.2,600.98,0.10118,4.508e-4,NaN,62.403,NaN,0.019101,425638,2.0588,0,0.57886,-2.588e-8,0.45119,0.012786,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4618e-6,4.6,16.619,88,-90,6.4831,13.375,983.94,339.4,2e-3,0.0022244
4e-3,-1.1548e-5,-0.011548,-5.7742,0.011555,5.7777,0,4.0328e-7,4.0328e-7,90,4.0328e-4,0.20164,55.7,-4.81,9.8149,90.102,0,0,0,1532.2,600.97,0.10118,4.508e-4,NaN,62.403,NaN,0.019068,424894,6.1765,0,0.57903,-8.2783e-9,0.45136,0.012786,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.9771e-7,4.6,16.619,88,-90,6.4718,13.375,983.94,339.4,2e-3,0.003048
6e-3,-6.1767e-6,-0.0061767,-3.0883,0.0061805,3.0902,0,2.157e-7,2.157e-7,90,2.1569e-4,0.10785,55.7,-4.81,9.8149,90.055,0,0,0,1532.2,600.95,0.10118,4.508e-4,NaN,62.402,NaN,0.019035,424150,10.294,0,0.5792,0,0.45153,0.012786,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3362e-7,4.6,16.619,88,-90,6.4604,13.375,983.94,339.4,2e-3,0.003583
8e-3,-8.0484e-7,-8.048e-4,-0.40235,8.0529e-4,0.40259,0,2.8106e-8,2.8106e-8,90,2.8104e-5,0.01405,55.7,-4.81,9.8149,90.007,0,0,0,1532.1,600.93,0.10118,4.5079e-4,NaN,62.402,NaN,0.019001,423406,14.412,0,0.57937,0,0.4517,0.012786,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.953e-8,4.6,16.619,88,-90,6.4491,13.375,983.94,339.4,2e-3,0.0040915
0.01,4.5672e-6,0.0045672,2.2837,0.00457,2.2851,0,-1.5949e-7,1.5949e-7,-90,1.5949e-4,0.079748,55.7,-4.81,9.8149,89.959,0,0,0,1532.1,600.91,0.10118,4.5079e-4,NaN,62.402,NaN,0.018968,422663,18.529,0,0.57954,0,0.45187,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9458e-7,4.6,16.619,88,-90,6.4378,13.375,983.94,339.4,2e-3,0.0046061
0.012,2.3641e-5,0.014507,4.9698,0.014515,4.9728,0,-8.2556e-7,8.2556e-7,-90,5.0658e-4,0.17355,55.7,-4.81,9.8149,89.871,0,0,0,1532.1,600.9,0.10118,4.5079e-4,NaN,62.402,NaN,0.018935,421921,22.647,0,0.57971,1.6773e-8,0.45205,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2533e-6,4.6,16.619,88,-90,6.4265,13.375,983.94,339.4,2e-3,0.0052141
0.014,6.7965e-5,0.029818,7.6559,0.029836,7.6606,0,-2.3734e-6,2.3734e-6,-90,0.0010413,0.26735,55.7,-4.81,9.8149,89.734,0,0,0,1532.1,600.88,0.10118,4.5078e-4,NaN,62.402,NaN,0.018901,421181,26.765,5.9841e-9,0.57989,1.4627e-7,0.45222,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5761e-6,4.6,16.619,88,-90,6.4152,13.375,983.94,339.4,2e-3,0.0057787
0.016,1.4829e-4,0.050502,10.342,0.050533,10.348,0,-5.1782e-6,5.1782e-6,-90,0.0017636,0.36115,55.7,-4.81,9.8149,89.548,0,0,0,1532.1,600.86,0.10118,4.5078e-4,NaN,62.402,NaN,0.018868,420446,30.882,2.9077e-8,0.58006,7.1323e-7,0.45239,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.363e-6,4.6,16.619,88,-90,6.4038,13.375,983.94,339.4,2e-3,0.006261
0.018,2.8132e-4,0.082536,16.018,0.082586,16.028,0,-9.824e-6,9.824e-6,-90,0.0028822,0.55937,55.7,-4.81,9.8149,89.26,0,0,0,1532,600.77,0.10117,4.5076e-4,NaN,62.401,NaN,0.018836,419724,39.581,1.2681e-7,0.58023,3.1212e-6,0.45256,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1305e-6,4.6,16.619,88,-90,6.3925,13.375,983.94,339.4,2e-3,0.0068108
0.02,5.2565e-4,0.16179,39.631,0.16189,39.655,0,-1.8356e-5,1.8356e-5,-90,0.0056499,1.3839,55.7,-4.81,9.8149,88.547,0,0,0,1531.8,600.61,0.10117,4.5074e-4,NaN,62.399,NaN,0.018807,419081,75.769,9.5009e-7,0.58038,2.3457e-5,0.45271,0.012785,0.11488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3978e-5,4.6,16.619,88,-90,6.3812,13.375,983.94,339.4,2e-3,0.0073041
